Departure Location,Departure Time,Arrival Location,Arrival Time,Flight Duration,Aircraft Type,Ticket Price,Passenger Type,Number of Tickets,Price per Ticket,Taxes & Fees,Total Price,Carry-on Baggage,Checked Baggage,Refund Policy,Scrape Time
TP Hồ Chí Minh (SGN),"05:00, 13/04/2025",Hà Nội (HAN),"07:10, 13/04/2025",2 giờ 10 phút,320B,Vietjet Air  Chuyến bay: VJ1198   Hạng vé : W1_ECO,Người lớn,1,"1,010,000 VNĐ","785,000 VNĐ","1,795,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:06:50
TP Hồ Chí Minh (SGN),"22:10, 13/04/2025",Hà Nội (HAN),"00:20, 14/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ172   Hạng vé : W1_ECO,Người lớn,1,"1,010,000 VNĐ","785,000 VNĐ","1,795,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:06:51
TP Hồ Chí Minh (SGN),"23:05, 13/04/2025",Hà Nội (HAN),"01:15, 14/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Bamboo Airways  Chuyến bay: QH290   Hạng vé : ECONOMYSMART,Người lớn,1,"1,069,000 VNĐ","790,000 VNĐ","1,859,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:06:52
TP Hồ Chí Minh (SGN),"06:15, 13/04/2025",Hà Nội (HAN),"08:25, 13/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ196   Hạng vé : U1_ECO,Người lớn,1,"1,130,000 VNĐ","795,000 VNĐ","1,925,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:06:52
TP Hồ Chí Minh (SGN),"07:10, 13/04/2025",Hà Nội (HAN),"09:20, 13/04/2025",2 giờ 10 phút,Máy bay: Airbus A320,Bamboo Airways  Chuyến bay: QH204   Hạng vé : ECONOMYSMART,Người lớn,1,"1,419,000 VNĐ","818,000 VNĐ","2,237,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:06:53
TP Hồ Chí Minh (SGN),"04:55, 13/04/2025",Hà Nội (HAN),"07:05, 13/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Pacific Airlines  Chuyến bay: VN6002   Hạng vé : R,Người lớn,1,"1,449,000 VNĐ","805,000 VNĐ","2,254,000 VNĐ",7kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-04-12 22:06:53
TP Hồ Chí Minh (SGN),"17:15, 13/04/2025",Hà Nội (HAN),"19:25, 13/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Bamboo Airways  Chuyến bay: QH254   Hạng vé : ECONOMYSMART,Người lớn,1,"2,049,000 VNĐ","868,000 VNĐ","2,917,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:06:54
TP Hồ Chí Minh (SGN),"06:00, 13/04/2025",Hà Nội (HAN),"08:05, 13/04/2025",2 giờ 5 phút,Máy bay: Airbus A321,Vietnam Airlines  Chuyến bay: VN206   Hạng vé : K,Người lớn,1,"2,209,000 VNĐ","866,000 VNĐ","3,075,000 VNĐ",10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-04-12 22:06:55
TP Hồ Chí Minh (SGN),"06:05, 13/04/2025",Hà Nội (HAN),"08:10, 13/04/2025",2 giờ 5 phút,Boeing 787 (máy bay lớn),Vietnam Airlines  Chuyến bay: VN7242   Hạng vé : K,Người lớn,1,"2,209,000 VNĐ","866,000 VNĐ","3,075,000 VNĐ",10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-04-12 22:06:55
TP Hồ Chí Minh (SGN),"06:30, 13/04/2025",Hà Nội (HAN),"08:40, 13/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietnam Airlines  Chuyến bay: VN7206   Hạng vé : K,Người lớn,1,"2,209,000 VNĐ","866,000 VNĐ","3,075,000 VNĐ",10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-04-12 22:06:56
