Departure Location,Departure Time,Arrival Location,Arrival Time,Flight Duration,Aircraft Type,Passenger Type,Number of Tickets,Price per Ticket,Taxes & Fees,Total Price,Carry-on Baggage,Checked Baggage,Refund Policy,Scrape Time,Airline,Flight Code,Fare Class
TP Hồ Chí Minh (SGN),2025-04-03 06:00:00,Hà Nội (HAN),2025-04-03 08:10:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:41,Vietjet Air,VJ1128,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 06:15:00,Hà Nội (HAN),2025-04-03 08:25:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:42,Vietjet Air,VJ196,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 07:10:00,Hà Nội (HAN),2025-04-03 09:20:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:42,Vietjet Air,VJ190,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 07:30:00,Hà Nội (HAN),2025-04-03 09:40:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:43,Vietjet Air,VJ120,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 08:10:00,Hà Nội (HAN),2025-04-03 10:20:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:43,Vietjet Air,VJ1126,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 11:25:00,Hà Nội (HAN),2025-04-03 13:35:00,2.17,Airbus A330,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:44,Vietjet Air,VJ1140,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 18:45:00,Hà Nội (HAN),2025-04-03 20:55:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:45,Vietjet Air,VJ1156,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 19:40:00,Hà Nội (HAN),2025-04-03 21:50:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:45,Vietjet Air,VJ1158,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 20:00:00,Hà Nội (HAN),2025-04-03 22:10:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:46,Vietjet Air,VJ1160,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 20:00:00,Hà Nội (HAN),2025-04-03 22:10:00,2.17,Airbus A320,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:47,Vietjet Air,VJ1176,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 20:30:00,Hà Nội (HAN),2025-04-03 22:40:00,2.17,Airbus A320,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:47,Vietjet Air,VJ180,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 21:00:00,Hà Nội (HAN),2025-04-03 23:10:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:48,Vietjet Air,VJ174,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 12:50:00,Hà Nội (HAN),2025-04-03 15:00:00,2.17,Airbus A320,Người lớn,1,1629000,835000,2464000,7kg,,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:48,Bamboo Airways,QH242,ECONOMYSMART
TP Hồ Chí Minh (SGN),2025-04-03 15:45:00,Hà Nội (HAN),2025-04-03 17:55:00,2.17,Airbus A320,Người lớn,1,1629000,835000,2464000,7kg,,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:49,Bamboo Airways,QH254,ECONOMYSMART
TP Hồ Chí Minh (SGN),2025-04-03 18:40:00,Hà Nội (HAN),2025-04-03 20:50:00,2.17,Airbus A320,Người lớn,1,1629000,835000,2464000,7kg,,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:50,Bamboo Airways,QH268,ECONOMYSMART
TP Hồ Chí Minh (SGN),2025-04-03 23:05:00,Hà Nội (HAN),2025-04-04 01:15:00,2.17,Airbus A321,Người lớn,1,1629000,835000,2464000,7kg,,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:50,Bamboo Airways,QH290,ECONOMYSMART
TP Hồ Chí Minh (SGN),2025-04-03 09:20:00,Hà Nội (HAN),2025-04-03 11:30:00,2.17,Airbus A320,Người lớn,1,1790000,848000,2638000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:51,Vietjet Air,VJ124,H1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 10:25:00,Hà Nội (HAN),2025-04-03 12:35:00,2.17,320B,Người lớn,1,1790000,848000,2638000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:52,Vietjet Air,VJ1130,H1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 12:25:00,Hà Nội (HAN),2025-04-03 14:35:00,2.17,Airbus A321,Người lớn,1,1790000,848000,2638000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:52,Vietjet Air,VJ1138,H1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 17:05:00,Hà Nội (HAN),2025-04-03 19:10:00,2.08,Airbus A320,Người lớn,1,1790000,848000,2638000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:53,Vietjet Air,VJ1162,H1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 17:20:00,Hà Nội (HAN),2025-04-03 19:30:00,2.17,Airbus A321,Người lớn,1,1790000,848000,2638000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:54,Vietjet Air,VJ1152,H1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 22:00:00,Hà Nội (HAN),2025-04-04 00:05:00,2.08,Airbus A321,Người lớn,1,1999000,849000,2848000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:57:54,Vietnam Airlines,VN224,L
TP Hồ Chí Minh (SGN),2025-04-03 23:00:00,Hà Nội (HAN),2025-04-04 01:05:00,2.08,Airbus A321,Người lớn,1,1999000,849000,2848000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:57:55,Vietnam Airlines,VN270,L
TP Hồ Chí Minh (SGN),2025-04-03 05:00:00,Hà Nội (HAN),2025-04-03 07:10:00,2.17,320B,Người lớn,1,2160000,877000,3037000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:55,Vietjet Air,VJ1198,L1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 09:40:00,Hà Nội (HAN),2025-04-03 11:50:00,2.17,Airbus A320,Người lớn,1,2160000,877000,3037000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:56,Vietjet Air,VJ1132,L1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 12:10:00,Hà Nội (HAN),2025-04-03 14:20:00,2.17,Airbus A321,Người lớn,1,2160000,877000,3037000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:55,Vietjet Air,VJ198,L1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 15:25:00,Hà Nội (HAN),2025-04-03 17:35:00,2.17,Airbus A321,Người lớn,1,2160000,877000,3037000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:57:56,Vietjet Air,VJ146,L1_ECO
TP Hồ Chí Minh (SGN),2025-04-03 07:00:00,Hà Nội (HAN),2025-04-03 09:05:00,2.08,Boeing 787,Người lớn,1,2209000,866000,3075000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:57:57,Vietnam Airlines,VN240,K
TP Hồ Chí Minh (SGN),2025-04-03 12:00:00,Hà Nội (HAN),2025-04-03 14:05:00,2.08,Airbus A359,Người lớn,1,2209000,866000,3075000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:57:57,Vietnam Airlines,VN212,K
TP Hồ Chí Minh (SGN),2025-04-03 17:00:00,Hà Nội (HAN),2025-04-03 19:10:00,2.17,Boeing 787,Người lớn,1,2209000,866000,3075000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:57:58,Vietnam Airlines,VN254,K
TP Hồ Chí Minh (SGN),2025-04-03 19:35:00,Hà Nội (HAN),2025-04-03 21:40:00,2.08,Airbus A350,Người lớn,1,2209000,866000,3075000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:57:58,Vietnam Airlines,VN262,K
TP Hồ Chí Minh (SGN),2025-04-03 08:00:00,Hà Nội (HAN),2025-04-03 10:05:00,2.08,Boeing 787,Người lớn,1,2419000,883000,3302000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:57:59,Vietnam Airlines,VN208,H
TP Hồ Chí Minh (SGN),2025-04-03 10:00:00,Hà Nội (HAN),2025-04-03 12:05:00,2.08,Airbus A359,Người lớn,1,2419000,883000,3302000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:58:00,Vietnam Airlines,VN210,H
TP Hồ Chí Minh (SGN),2025-04-03 11:00:00,Hà Nội (HAN),2025-04-03 13:05:00,2.08,Airbus A321,Người lớn,1,2419000,883000,3302000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:58:00,Vietnam Airlines,VN246,H
TP Hồ Chí Minh (SGN),2025-04-03 13:00:00,Hà Nội (HAN),2025-04-03 15:05:00,2.08,Airbus A321,Người lớn,1,2419000,883000,3302000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:58:01,Vietnam Airlines,VN248,H
TP Hồ Chí Minh (SGN),2025-04-03 15:00:00,Hà Nội (HAN),2025-04-03 17:05:00,2.08,Boeing 787,Người lớn,1,2419000,883000,3302000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:58:02,Vietnam Airlines,VN250,H
TP Hồ Chí Minh (SGN),2025-04-03 09:00:00,Hà Nội (HAN),2025-04-03 11:05:00,2.08,Boeing 787,Người lớn,1,2609000,898000,3507000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:58:02,Vietnam Airlines,VN244,S
TP Hồ Chí Minh (SGN),2025-04-03 20:00:00,Hà Nội (HAN),2025-04-03 22:05:00,2.08,Boeing 787,Người lớn,1,2609000,898000,3507000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:58:03,Vietnam Airlines,VN220,S
TP Hồ Chí Minh (SGN),2025-04-03 16:00:00,Hà Nội (HAN),2025-04-03 18:05:00,2.08,Airbus A359,Người lớn,1,2789000,913000,3702000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé miễn phí', '- Miễn phí chọn ghế']",2025-03-31 08:58:03,Vietnam Airlines,VN216,M
TP Hồ Chí Minh (SGN),2025-04-03 16:40:00,Hà Nội (HAN),2025-04-03 18:45:00,2.08,Airbus A350,Người lớn,1,2789000,913000,3702000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé miễn phí', '- Miễn phí chọn ghế']",2025-03-31 08:58:04,Vietnam Airlines,VN252,M
TP Hồ Chí Minh (SGN),2025-04-03 19:00:00,Hà Nội (HAN),2025-04-03 21:05:00,2.08,Boeing 787,Người lớn,1,2789000,913000,3702000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé miễn phí', '- Miễn phí chọn ghế']",2025-03-31 08:58:05,Vietnam Airlines,VN258,M
TP Hồ Chí Minh (SGN),2025-04-03 20:30:00,Hà Nội (HAN),2025-04-03 22:35:00,2.08,Airbus A321,Người lớn,1,2789000,913000,3702000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé miễn phí', '- Miễn phí chọn ghế']",2025-03-31 08:58:05,Vietnam Airlines,VN256,M
TP Hồ Chí Minh (SGN),2025-04-03 06:00:00,Hà Nội (HAN),2025-04-03 08:05:00,2.08,Airbus A359,Người lớn,1,2937000,924000,3861000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé miễn phí', '- Miễn phí chọn ghế']",2025-03-31 08:58:06,Vietnam Airlines,VN206,B
TP Hồ Chí Minh (SGN),2025-04-03 18:00:00,Hà Nội (HAN),2025-04-03 20:05:00,2.08,Boeing 787,Người lớn,1,2937000,924000,3861000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé miễn phí', '- Miễn phí chọn ghế']",2025-03-31 08:58:07,Vietnam Airlines,VN218,B
TP Hồ Chí Minh (SGN),2025-04-03 21:00:00,Hà Nội (HAN),2025-04-03 23:05:00,2.08,Boeing 787,Người lớn,1,3137000,940000,4077000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:07,Vietnam Airlines,VN260,I
TP Hồ Chí Minh (SGN),2025-04-03 22:00:00,Hà Nội (HAN),2025-04-04 00:05:00,2.08,Airbus A321,Người lớn,1,3137000,940000,4077000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:08,Vietnam Airlines,VN224,I
TP Hồ Chí Minh (SGN),2025-04-03 23:00:00,Hà Nội (HAN),2025-04-04 01:05:00,2.08,Airbus A321,Người lớn,1,3137000,940000,4077000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:09,Vietnam Airlines,VN270,I
TP Hồ Chí Minh (SGN),2025-04-03 04:55:00,Hà Nội (HAN),2025-04-03 07:05:00,2.17,Airbus A321,Người lớn,1,3137000,940000,4077000,7kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:09,Pacific Airlines,VN6002,I
TP Hồ Chí Minh (SGN),2025-04-03 20:30:00,Hà Nội (HAN),2025-04-03 22:35:00,2.08,Airbus A321,Người lớn,1,3137000,940000,4077000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:10,Vietnam Airlines,VN256,I
TP Hồ Chí Minh (SGN),2025-04-03 06:00:00,Hà Nội (HAN),2025-04-03 08:05:00,2.08,Airbus A359,Người lớn,1,3837000,996000,4833000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:10,Vietnam Airlines,VN206,D
TP Hồ Chí Minh (SGN),2025-04-03 05:10:00,Hà Nội (HAN),2025-04-03 07:20:00,2.17,Airbus A321,Người lớn,1,4399000,1056000,5455000,14kg,40kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:58:11,Bamboo Airways,QH202,BUSINESSSMART
TP Hồ Chí Minh (SGN),2025-04-03 15:45:00,Hà Nội (HAN),2025-04-03 17:55:00,2.17,Airbus A320,Người lớn,1,4399000,1056000,5455000,14kg,40kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:58:12,Bamboo Airways,QH254,BUSINESSSMART
TP Hồ Chí Minh (SGN),2025-04-03 23:05:00,Hà Nội (HAN),2025-04-04 01:15:00,2.17,Airbus A321,Người lớn,1,4399000,1056000,5455000,14kg,40kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:58:12,Bamboo Airways,QH290,BUSINESSSMART
TP Hồ Chí Minh (SGN),2025-04-03 06:30:00,Hà Nội (HAN),2025-04-03 08:40:00,2.17,Airbus A321,Người lớn,1,4899000,1081000,5980000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:13,Vietnam Airlines,VN7206,I
TP Hồ Chí Minh (SGN),2025-04-03 11:25:00,Hà Nội (HAN),2025-04-03 13:35:00,2.17,Airbus A330,Người lớn,1,5390000,1136000,6526000,18kg,40kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé miễn phí, thu chênh lệch giá', '- Áp dụng đổi tên mất phí', '- Miễn phí chọn chỗ trước']",2025-03-31 08:58:14,Vietjet Air,VJ1140,C_Boss
TP Hồ Chí Minh (SGN),2025-04-03 07:00:00,Hà Nội (HAN),2025-04-03 09:05:00,2.08,Boeing 787,Người lớn,1,5399000,1121000,6520000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:14,Vietnam Airlines,VN240,D
TP Hồ Chí Minh (SGN),2025-04-03 14:00:00,Hà Nội (HAN),2025-04-03 16:05:00,2.08,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:15,Vietnam Airlines,VN214,J
TP Hồ Chí Minh (SGN),2025-04-03 12:00:00,Hà Nội (HAN),2025-04-03 14:05:00,2.08,Airbus A359,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:15,Vietnam Airlines,VN212,J
TP Hồ Chí Minh (SGN),2025-04-03 17:00:00,Hà Nội (HAN),2025-04-03 19:10:00,2.17,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:16,Vietnam Airlines,VN254,J
TP Hồ Chí Minh (SGN),2025-04-03 19:35:00,Hà Nội (HAN),2025-04-03 21:40:00,2.08,Airbus A350,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:17,Vietnam Airlines,VN262,J
TP Hồ Chí Minh (SGN),2025-04-03 08:00:00,Hà Nội (HAN),2025-04-03 10:05:00,2.08,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:17,Vietnam Airlines,VN208,J
TP Hồ Chí Minh (SGN),2025-04-03 10:00:00,Hà Nội (HAN),2025-04-03 12:05:00,2.08,Airbus A359,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:18,Vietnam Airlines,VN210,J
TP Hồ Chí Minh (SGN),2025-04-03 11:00:00,Hà Nội (HAN),2025-04-03 13:05:00,2.08,Airbus A321,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:19,Vietnam Airlines,VN246,J
TP Hồ Chí Minh (SGN),2025-04-03 13:00:00,Hà Nội (HAN),2025-04-03 15:05:00,2.08,Airbus A321,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:19,Vietnam Airlines,VN248,J
TP Hồ Chí Minh (SGN),2025-04-03 15:00:00,Hà Nội (HAN),2025-04-03 17:05:00,2.08,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:20,Vietnam Airlines,VN250,J
TP Hồ Chí Minh (SGN),2025-04-03 09:00:00,Hà Nội (HAN),2025-04-03 11:05:00,2.08,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:21,Vietnam Airlines,VN244,J
TP Hồ Chí Minh (SGN),2025-04-03 20:00:00,Hà Nội (HAN),2025-04-03 22:05:00,2.08,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:21,Vietnam Airlines,VN220,J
TP Hồ Chí Minh (SGN),2025-04-03 16:00:00,Hà Nội (HAN),2025-04-03 18:05:00,2.08,Airbus A359,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:22,Vietnam Airlines,VN216,J
TP Hồ Chí Minh (SGN),2025-04-03 16:40:00,Hà Nội (HAN),2025-04-03 18:45:00,2.08,Airbus A350,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:22,Vietnam Airlines,VN252,J
TP Hồ Chí Minh (SGN),2025-04-03 19:00:00,Hà Nội (HAN),2025-04-03 21:05:00,2.08,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:23,Vietnam Airlines,VN258,J
TP Hồ Chí Minh (SGN),2025-04-03 18:00:00,Hà Nội (HAN),2025-04-03 20:05:00,2.08,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:58:24,Vietnam Airlines,VN218,J
TP Hồ Chí Minh (SGN),2025-04-04 05:45:00,Hà Nội (HAN),2025-04-04 07:55:00,2.17,Airbus A321,Người lớn,1,1518000,880000,2398000,7kg,,[],2025-03-31 08:58:28,Vietravel Airlines,VU750,O
TP Hồ Chí Minh (SGN),2025-04-04 05:00:00,Hà Nội (HAN),2025-04-04 07:10:00,2.17,320B,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:58:29,Vietjet Air,VJ1198,B1_ECO
