Departure Location,Departure Time,Arrival Location,Arrival Time,Flight Duration,Aircraft Type,Passenger Type,Number of Tickets,Price per Ticket,Taxes & Fees,Total Price,Carry-on Baggage,Checked Baggage,Refund Policy,Scrape Time,Airline,Flight Code,Fare Class
TP Hồ Chí Minh (SGN),2025-04-01 06:30:00,Hà Nội (HAN),2025-04-01 08:40:00,2.17,Airbus A330,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:55,Vietjet Air,VJ1180,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 07:10:00,Hà Nội (HAN),2025-04-01 09:20:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:56,Vietjet Air,VJ190,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 07:30:00,Hà Nội (HAN),2025-04-01 09:40:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:56,Vietjet Air,VJ120,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 08:10:00,Hà Nội (HAN),2025-04-01 10:20:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:57,Vietjet Air,VJ1126,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 16:05:00,Hà Nội (HAN),2025-04-01 18:15:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:58,Vietjet Air,VJ150,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 16:50:00,Hà Nội (HAN),2025-04-01 19:00:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:58,Vietjet Air,VJ1162,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 17:20:00,Hà Nội (HAN),2025-04-01 19:30:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:59,Vietjet Air,VJ1152,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 18:45:00,Hà Nội (HAN),2025-04-01 20:55:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:59,Vietjet Air,VJ1156,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 19:40:00,Hà Nội (HAN),2025-04-01 21:50:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:00,Vietjet Air,VJ1158,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 07:10:00,Hà Nội (HAN),2025-04-01 09:20:00,2.17,Airbus A320,Người lớn,1,1629000,835000,2464000,7kg,,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:01,Bamboo Airways,QH204,ECONOMYSMART
TP Hồ Chí Minh (SGN),2025-04-01 15:45:00,Hà Nội (HAN),2025-04-01 17:55:00,2.17,Airbus A320,Người lớn,1,1629000,835000,2464000,7kg,,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:01,Bamboo Airways,QH254,ECONOMYSMART
